,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dom pedrito,-30.98,-54.67,284.41,69,0,3.74,BR,1595706652
1,yerofey pavlovich,53.97,121.97,290.52,96,100,0.68,RU,1595706652
2,clyde river,70.47,-68.59,289.15,48,1,10.8,CA,1595706652
3,thompson,55.74,-97.86,299.15,50,40,4.6,CA,1595706652
4,bethel,41.37,-73.41,304.26,51,40,5.1,US,1595706510
5,kapaa,22.08,-159.32,299.82,94,90,6.7,US,1595706653
6,pisco,-13.7,-76.22,291.48,77,20,4.6,PE,1595706653
7,obreja,45.48,22.25,291.29,92,100,0.27,RO,1595706653
8,vaini,-21.2,-175.2,295.15,78,75,4.1,TO,1595706653
9,rikitea,-23.12,-134.97,294.18,80,19,10.25,PF,1595706653
10,luganville,-15.53,167.17,298.15,83,90,4.1,VU,1595706586
11,punta arenas,-53.15,-70.92,274.15,59,68,4.6,CL,1595706382
12,barrow,71.29,-156.79,276.15,86,90,2.1,US,1595706387
13,marcona,,,,,,,,
14,ibra,22.69,58.53,301.71,59,61,3.08,OM,1595706653
15,puerto del rosario,28.5,-13.86,298.15,69,2,7.7,ES,1595706654
16,barentsburg,,,,,,,,
17,avarua,-21.21,-159.78,296.15,69,96,3.6,CK,1595706579
18,hermanus,-34.42,19.23,287.04,88,0,0.45,ZA,1595706654
19,koga,33.73,130.47,297.15,83,20,4.6,JP,1595706654
20,tombouctou,20,-3,310.69,29,7,4.09,ML,1595706654
21,butaritari,3.07,172.79,301.6,74,77,6.61,KI,1595706654
22,bluff,-46.6,168.33,283.38,81,100,8.88,NZ,1595706654
23,fort nelson,58.81,-122.7,293.15,45,75,4.6,CA,1595706495
24,arraial do cabo,-22.97,-42.03,302.15,54,0,4.1,BR,1595706409
25,hobart,-42.88,147.33,278.15,93,2,2.6,AU,1595706466
26,saskylakh,71.92,114.08,277.19,80,100,10.97,RU,1595706655
27,okha,53.57,142.95,282.31,88,0,2.24,RU,1595706655
28,pervomayskoye,43.92,46.71,296.03,85,6,3.27,RU,1595706655
29,broken hill,-31.95,141.43,279.15,93,0,2.1,AU,1595706655
30,governador dix-sept rosado,-5.46,-37.52,303.74,43,100,3.27,BR,1595706655
31,jinchang,38.5,102.17,295.32,26,0,4.17,CN,1595706655
32,vila do maio,15.13,-23.22,301.15,78,40,4.6,CV,1595706656
33,andilamena,-17.02,48.58,285.82,88,91,7.1,MG,1595706656
