,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.12,-134.97,293.72,83,23,8.8,PF,1598821035
1,kakonko,-3.28,30.96,292.7,65,1,1.36,TZ,1598821139
2,grand river south east,,,,,,,,
3,tumannyy,,,,,,,,
4,fortuna,40.6,-124.16,294.82,48,20,6.7,US,1598821053
5,tual,-5.67,132.75,299.34,86,39,6.27,ID,1598821103
6,macapa,0.04,-51.07,302.15,66,75,4.6,BR,1598820947
7,tasiilaq,65.61,-37.64,282.15,61,100,3.1,GL,1598821041
8,jiddah,,,,,,,,
9,kapaa,22.08,-159.32,302.04,69,40,7.2,US,1598821045
10,dunedin,-45.87,170.5,283.21,67,100,3.98,NZ,1598821040
11,iqaluit,63.75,-68.51,282.15,76,20,2.1,CA,1598821047
12,atuona,-9.8,-139.03,298.76,80,42,9.54,PF,1598821050
13,souillac,-20.52,57.52,294.15,94,40,8.2,MU,1598821071
14,hilo,19.73,-155.09,302.15,62,75,2.1,US,1598821060
15,kaitangata,-46.28,169.85,285.93,40,100,1.79,NZ,1598821064
16,attawapiskat,,,,,,,,
17,jardim,-21.48,-56.14,303.24,34,83,3.9,BR,1598821046
18,mataura,-46.19,168.86,284.68,54,61,4.34,NZ,1598821039
19,new norfolk,-42.78,147.06,278.71,71,2,0.45,AU,1598821036
20,port alfred,-33.59,26.89,283.53,74,13,5.03,ZA,1598821039
21,port elizabeth,-33.92,25.57,282.15,81,32,3.1,ZA,1598821067
22,huntington,38.42,-82.45,303.15,34,1,2.6,US,1598821141
23,maldonado,-34.67,-54.92,283.15,61,61,5.7,UY,1598821122
24,minab,27.15,57.08,302.15,39,0,0.95,IR,1598821141
25,yellowknife,62.46,-114.35,285.15,58,40,7.2,CA,1598821036
26,ushuaia,-54.8,-68.3,271.15,92,75,10.8,AR,1598821048
27,salinas,36.68,-121.66,296.48,68,1,6.7,US,1598821023
28,taolanaro,,,,,,,,
29,nanortalik,60.14,-45.24,281.78,77,100,3.27,GL,1598821104
30,saint anthony,45.02,-93.22,298.71,44,20,6.7,US,1598820978
31,dikson,73.51,80.55,278.65,96,100,6.98,RU,1598821058
32,upernavik,72.79,-56.15,278.31,84,88,5.03,GL,1598821054
33,sorvag,,,,,,,,
34,bolshoye sorokino,,,,,,,,
35,klaksvik,62.23,-6.59,283.15,100,100,3.6,FO,1598821116
36,palmer,42.16,-72.33,297.04,40,40,7.7,US,1598821142
37,dryden,49.78,-92.75,295.15,46,40,7.2,CA,1598821142
38,adeje,28.12,-16.73,296.48,56,20,6.7,ES,1598821142
39,albany,42.6,-73.97,295.37,43,0,0.45,US,1598820903
40,yulara,-25.24,130.99,285.15,54,0,3.1,AU,1598821048
41,saskylakh,71.92,114.08,281.09,84,70,2.31,RU,1598821042
42,barrow,71.29,-156.79,277.15,93,90,6.7,US,1598821066
43,haines junction,60.75,-137.51,284.86,61,93,2.91,CA,1598821114
44,burgeo,47.62,-57.62,290.13,89,80,5.26,CA,1598821143
45,punta arenas,-53.15,-70.92,275.15,47,75,9.3,CL,1598820836
46,chokurdakh,70.63,147.92,278.62,80,88,3.73,RU,1598821038
47,chipinge,-20.19,32.62,289.57,90,30,2.57,ZW,1598821143
48,torbay,47.67,-52.73,293.71,94,90,5.7,CA,1598821083
49,cabo san lucas,22.89,-109.91,305.37,78,20,4.6,MX,1598820855
50,jacareacanga,-6.22,-57.75,302.1,56,37,1.18,BR,1598821079
51,esna,25.29,32.55,307.15,28,0,2.6,EG,1598821144
52,sentyabrskiy,,,,,,,,
53,shiogama,38.32,141.03,294.15,88,75,2.1,JP,1598821144
54,ambilobe,-13.2,49.05,293.1,89,0,1.87,MG,1598821113
55,nikolskoye,59.7,30.79,288.15,87,95,3,RU,1598821039
56,qaqortoq,60.72,-46.03,287.15,50,75,1,GL,1598821065
57,busselton,-33.65,115.33,277.04,74,0,1.67,AU,1598821047
58,caloto,3.04,-76.41,300.37,65,40,2.1,CO,1598821145
59,grindavik,63.84,-22.43,285.15,93,90,14.4,IS,1598821145
